    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.462e-06 |
  2 |   2                3 3.180e-07 |
  3 |   3                5 3.570e-07 |
  4 |   3                8 4.280e-07 |
  5 |   4               13 4.870e-07 |
  6 |   4               22 5.870e-07 |
  7 |   5               36 0.000e+00 |
  8 |   5               60 0.000e+00 |
  9 |   5              100 9.840e-07 |
 10 |   6              167 0.000e+00 |
 11 |   6              279 2.237e-06 |
 12 |   6              465 2.137e-06 |
 13 |   7              777 3.162e-06 |
 14 |   7             1297 1.406e-06 |
 15 |   7             2165 8.013e-06 |
 16 |   7             3614 1.031e-05 |
 17 |   8             6031 2.180e-05 |
 18 |   8            10065 3.651e-05 |
 19 |   8            16795 6.009e-05 |
 20 |   8            28024 9.720e-05 |
 21 |   9            46759 1.579e-04 |
 22 |   9            77975 2.589e-04 |
 23 |   9           130053 4.291e-04 |
 24 |   9           215619 7.090e-04 |
 25 |   9           358357 1.246e-03 |
 26 |  10           596474 2.119e-03 |
 27 |  10           992384 3.799e-03 |
 28 |  10          1652836 7.024e-03 |
 29 |  10          2753284 1.191e-02 |
 30 |  11          4586411 1.967e-02 |
 31 |  11          7641790 3.323e-02 |
 32 |  11         12732175 5.481e-02 |
 33 |  12         21214708 9.164e-02 |
 34 |  12         35349426 1.514e-01 |
 35 |  12         58901235 2.517e-01 |
 36 |  13         98146783 4.250e-01 |
 37 |  13        163540946 7.087e-01 |
 38 |  13        272507363 1.187e+00 |
 39 |  14        456418241 1.959e+00 |
 40 |  14        762868454 3.274e+00 |
 41 |  14       1273507704 5.428e+00 |
 42 |  15       2115903048 8.980e+00 |
 43 |  15       3519587895 1.490e+01 |
 44 |  15       5860890706 2.440e+01 |
 45 |  15       9756062672 4.016e+01 |
 46 |  16      16251274852 6.683e+01 |
 47 |  16      27075132631 1.115e+02 |
 48 |  16      45105676401 1.860e+02 |
 49 |  17      75156433317 3.104e+02 |
 50 |  17     125225076791 5.169e+02 |
